Date,USDCLP,Copper,Oil,DXY,SP500,VIX
2014-01-09,534.0999755859375,3.3540000915527344,91.66000366210938,81.01000213623047,1838.1300048828125,12.890000343322754
2014-01-10,532.7999877929688,3.38700008392334,92.72000122070312,80.66000366210938,1842.3699951171875,12.140000343322754
2014-01-13,529.4000244140625,3.4000000953674316,91.80000305175781,80.51000213623047,1819.199951171875,13.279999732971191
2014-01-14,527.7999877929688,3.388000011444092,92.58999633789062,80.61000061035156,1838.8800048828125,12.279999732971191
2014-01-15,527.9000244140625,3.4065001010894775,94.16999816894531,81.0,1848.3800048828125,12.279999732971191
2014-01-16,529.2999877929688,3.3910000324249268,93.95999908447266,80.9000015258789,1845.8900146484375,12.529999732971191
2014-01-17,533.25,3.378499984741211,94.37000274658203,81.26000213623047,1838.699951171875,12.4399995803833
2014-01-20,540.0999755859375,,,,,
2014-01-21,540.0,3.3914999961853027,94.98999786376953,81.0999984741211,1843.800048828125,12.869999885559082
2014-01-22,543.7999877929688,3.375,96.7300033569336,81.16999816894531,1844.8599853515625,12.84000015258789
2014-01-23,541.5999755859375,3.322499990463257,97.31999969482422,80.44000244140625,1828.4599609375,13.770000457763672
2014-01-24,548.2999877929688,3.303999900817871,96.63999938964844,80.45999908447266,1790.2900390625,18.139999389648438
2014-01-27,550.0,3.2939999103546143,95.72000122070312,80.5,1781.56005859375,17.420000076293945
2014-01-28,548.2000122070312,3.2855000495910645,97.41000366210938,80.56999969482422,1792.5,15.800000190734863
2014-01-29,546.0999755859375,3.2679998874664307,97.36000061035156,80.51000213623047,1774.199951171875,17.350000381469727
2014-01-30,549.2000122070312,3.23799991607666,98.2300033569336,81.08999633789062,1794.18994140625,17.290000915527344
2014-01-31,547.9000244140625,3.2204999923706055,97.48999786376953,81.2699966430664,1782.5899658203125,18.40999984741211
2014-02-03,555.0499877929688,3.19950008392334,96.43000030517578,81.01000213623047,1741.8900146484375,21.440000534057617
2014-02-04,561.5,3.2170000076293945,97.19000244140625,81.12000274658203,1755.199951171875,19.110000610351562
2014-02-05,556.7999877929688,3.2144999504089355,97.37999725341797,81.02999877929688,1751.6400146484375,19.950000762939453
2014-02-06,557.4000244140625,3.259000062942505,97.83999633789062,80.88999938964844,1773.4300537109375,17.229999542236328
2014-02-07,551.7000122070312,3.2709999084472656,99.87999725341797,80.69000244140625,1797.02001953125,15.289999961853027
